record_id,confidence,action,is_gt
AALA202503133142,0.3,no_action,False
AALA202512268045,0.4,no_action,False
AALA202601144395,0.5,no_action,False
AALA202503222956,0.5,no_action,False
AALA202509101026,0.5,no_action,False
AALA202504286397,0.65,no_action,False
AALA202506124324,0.65,no_action,False
SWIA2026060776549,0.65,no_action,False
AALA202601130172,0.65,no_action,False
AALA202504282845,0.5,no_action,False
AALA202512034539,0.4,no_action,False
DALA2025073005715,0.65,no_action,False
AALA202504010553,0.65,no_action,False
AALA202601152253,0.65,no_action,False
AALA202512300790,0.4,no_action,False
AALA202512303824,0.4,no_action,False
AALA202510302433,0.3,no_action,False
AALA202512103373,0.15,no_action,False
AALA202512169162,0.15,no_action,False
VNAA202504170088,0.65,no_action,False
AALA202511144072,0.3,no_action,False
AALA202503040928,0.65,no_action,False
AALA202503063653,0.5,no_action,False
AALA202508197813,0.4,no_action,False
AALA202502066033,0.3,no_action,False
AALA202501279548,0.15,no_action,False
AALA202504084759,0.3,no_action,False
SWIA2025112376456,0.5,no_action,False
AALA202502060273,0.3,no_action,False
AALA202511242633,0.4,no_action,False
AALA202509216501,0.5,no_action,False
AALA202601143069,0.3,no_action,False
AALA202512162991,0.4,no_action,False
AALA202503170268,0.3,no_action,False
AALA202508189457,0.65,no_action,False
AALA202510035477,0.4,no_action,False
SWIA2025111376465,0.5,no_action,False
SWIA2025113076461,0.3,no_action,False
AALA202505029492,0.4,no_action,False
AALA202504285985,0.4,no_action,False
AALA202510138998,0.65,no_action,False
VNAA20250320037,0.3,no_action,False
DALA2025031802034,0.5,no_action,False
AALA202507224531,0.5,no_action,False
AALA202504303393,0.5,no_action,False
SWIA2025120376581,0.5,no_action,False
AALA202508291583,0.55,no_action,False
SWIA2025091876599,0.3,no_action,False
AALA202502143935,0.65,no_action,False
AALA202510012796,0.4,no_action,False
AALA202503059066,0.65,no_action,False
DALA2025072805645,0.65,no_action,False
AALA202504287459,0.65,no_action,False
SWIA2025112376530,0.5,no_action,False
AALA202511068693,0.65,no_action,False
AALA202508317971,0.65,no_action,False
AALA202508160405,0.3,no_action,False
AALA202501181587,0.3,no_action,False
VNAA202504170073,0.65,no_action,False
SWIA2025111676496,0.3,no_action,False
AALA202509230745,0.4,no_action,False
AALA202601148200,0.5,no_action,False
AALA202603064734,0.3,no_action,False
AALA202506303094,0.5,no_action,False
AALA202505300902,0.5,no_action,False
AALA202504154710,0.5,no_action,False
AALA202504014664,0.65,no_action,False
AALA202601145337,0.4,no_action,False
AALA202505260261,0.4,no_action,False
AALA202504085395,0.3,no_action,False
AALA202510305674,0.15,no_action,False
VNAA202504170076,0.65,no_action,False
VNAA202504160003,0.65,no_action,False
VNAA202504170067,0.65,no_action,False
SWIA2025110676472,0.4,no_action,False
AALA202507211480,0.55,no_action,False
AALA202508157501,0.5,no_action,False
AALA202510224057,0.55,no_action,False
SWIA2025111376476,0.5,no_action,False
AALA202508087650,0.5,no_action,False
AALA202506308535,0.4,no_action,False
AALA202506193303,0.15,no_action,False
AALA202510077496,0.65,no_action,False
AALA202504073887,0.3,no_action,False
AALA202508055175,1.0,supersedes,False
VNAA20250320042,0.15,no_action,False
AALA202509126209,0.4,no_action,False
AALA202504283187,0.3,no_action,False
AALA202501247485,0.5,supersedes,False
AALA202502061779,0.65,no_action,False
AALA202507130066,0.55,no_action,False
DALA2025072805632,0.3,no_action,False
AALA202501222158,0.5,no_action,False
DALA2025072405572,0.65,no_action,False
AALA202503189203,0.65,no_action,False
AALA202504026624,0.3,no_action,False
AALA202506196913,0.15,no_action,False
SWIA2026070676552,0.5,no_action,False
AALA202505198249,0.4,no_action,False
AALA202507135163,0.9,supersedes,False
SWIA2025111476567,0.15,no_action,False
AALA202507214857,0.5,no_action,False
AALA202512023224,0.65,no_action,False
AALA202510223955,0.3,no_action,False
AALA202508053196,0.65,no_action,False
AALA202510210424,0.55,contradicts,False
AALA202511172904,0.55,no_action,False
DALA2025032802305,0.5,no_action,False
AALA202508056423,0.65,no_action,False
AALA202504085401,0.65,contradicts,False
AALA202505066352,0.55,no_action,False
AALA202505097615,0.5,supersedes,False
AALA202511103376,0.55,no_action,False
AALA202503207109,0.5,no_action,False
AALA202506177975,0.5,no_action,False
SWIA2025112376462,0.5,no_action,False
AALA202502115985,0.65,no_action,False
AALA202511062677,0.3,no_action,False
AALA202505154106,0.5,supersedes,False
AALA202510291620,0.85,supersedes,False
AALA202511209262,0.65,no_action,False
AALA202510033480,0.4,no_action,False
AALA202511064294,0.3,no_action,False
AALA202503286220,0.65,no_action,False
AALA202503062494,0.5,no_action,False
AALA202511134227,0.5,no_action,False
AALA202502137250,0.5,no_action,False
AALA202509240834,0.55,no_action,False
AALA202508203598,0.4,no_action,False
AALA202503286402,0.4,contradicts,False
AALA202506244126,0.4,no_action,False
AALA202503270402,0.5,no_action,False
AALA202507257153,0.55,no_action,False
AALA202508134689,0.5,no_action,False
SWIA2026070676554,0.5,no_action,False
SWIA2025112476485,0.15,no_action,False
AALA202510203314,0.4,contradicts,False
AALA202503135158,0.65,no_action,False
AALA202508164942,0.4,no_action,False
SWIA2025111376482,0.3,no_action,False
AALA202505299850,0.65,supersedes,False
AALA202510210129,0.5,no_action,False
AALA202503105902,0.5,no_action,False
AALA202510016568,0.4,no_action,False
